index,review_id,image,image_basename,target,gold_status,prompt_status,combined_status,prompt_correct,combined_correct,case_tags,path_best_evidence,ocr_score,ocr_text,ocr_conf,ambiguity_level,manual_notes
54,54,vsgui10k-images/dd9efb.png,dd9efb.png,search,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.028069892855846088,0.4,Uber,96.692238,low,app recommendations screen has no search field visible
55,55,vsgui10k-images/42c444.png,42c444.png,skip,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.00943468583410072,0.16666666666666666,Continue,96.377747,low,onboarding ad only shows Continue
58,58,vsgui10k-images/1d0e96.png,1d0e96.png,history,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.0,0.2222222222222222,Lt,56.680862,low,calculator overlay has no history control visible
60,60,vsgui10k-images/9efc81.png,9efc81.png,checkout,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.1981835499840779,0.4,log account or in,85.083664,medium,game item store page has search/order fields but no checkout button visible
62,62,vsgui10k-images/48a5a0.png,48a5a0.png,settings,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.012092094871832056,0.2564102564102564,| ID) sae 710| Tal. | Gs | | Gl,58.8387521,low,email client view has no settings control visible
64,64,vsgui10k-images/55d16d.png,55d16d.png,warranty,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.00571828481389401,0.4,aa,42.251328,low,product page has no warranty link visible
70,70,vsgui10k-images/74db3f.png,74db3f.png,search,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.10648003001660754,0.4166666666666667,Seleccionar ciudad,96.2039335,low,city selector has no search field visible
71,71,vsgui10k-images/c75d3f.png,c75d3f.png,settings,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.03576924352238845,0.4,EQUINOX,95.298645,low,menstrual cycle page has no settings control visible
72,72,vsgui10k-images/6e2c8e.png,6e2c8e.png,watchlist,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.07406186661007441,0.375,Western,93.643318,low,genres screen has no watchlist target visible
78,78,vsgui10k-images/8e0c5b.png,8e0c5b.png,format cells,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.006973480711369296,0.5,alls,63.172531,medium,spreadsheet filter menu has no format-cells option visible
79,79,vsgui10k-images/091ab0.png,091ab0.png,privacy policy,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.07282755442951222,0.3870967741935484,Drink Volume Unit,96.396777,low,settings page has no privacy-policy item visible
80,80,vsgui10k-images/71e30d.png,71e30d.png,contact,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.06108380171139307,0.3333333333333333,ABOUT,95.625786,low,bike page nav has no contact link visible
85,85,vsgui10k-images/58033d.png,58033d.png,skip,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.004572429243151393,0.2857142857142857,Ke),62.280304,low,video ad dialog has no skip control visible
87,87,vsgui10k-images/ead495.png,ead495.png,pricing,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.0023343481329581597,0.375,PDF in si,62.43568033333333,low,PDF tools homepage has no pricing link visible
98,98,vsgui10k-images/591218.png,591218.png,skip,absent,present,absent,0,1,prompt_wrong_combined_correct;absent_false_present_corrected,0.0168643265436524,0.3333333333333333,Ko,56.346935,low,fitness ad has no skip control visible
