index,review_id,image,image_basename,target,gold_status,prompt_status,combined_status,prompt_correct,combined_correct,case_tags,path_best_evidence,ocr_score,ocr_text,ocr_conf,ambiguity_level,manual_notes
0,0,vsgui10k-images/824f2b.png,824f2b.png,On,present,present,present,1,1,both_correct,0.16460792739062277,1.0,On,95.560646,low,auto_prefilled_present_verify_if_used
1,1,vsgui10k-images/cc787e.png,cc787e.png,ALLOW,present,present,present,1,1,both_correct,0.7131099096274736,0.3333333333333333,w,53.274117,low,auto_prefilled_present_verify_if_used
2,2,vsgui10k-images/c9fe43.png,c9fe43.png,Blender.exe,present,present,present,1,1,both_correct,0.4266125952197991,1.0,Blender.exe,86.469849,low,auto_prefilled_present_verify_if_used
3,3,vsgui10k-images/5c0bcf.png,5c0bcf.png,MC,present,present,present,1,1,both_correct,0.5383409107819083,0.0,,,low,auto_prefilled_present_verify_if_used
4,4,vsgui10k-images/28cf69.png,28cf69.png,Adiban of Glance,present,present,present,1,1,both_correct,0.7529497308388265,0.7272727272727273,of ‘Adivan Glance,67.69012933333333,low,auto_prefilled_present_verify_if_used
5,5,vsgui10k-images/76822c.png,76822c.png,25 minutes,present,present,present,1,1,both_correct,0.668259395691325,1.0,25 minutes,96.585701,low,auto_prefilled_present_verify_if_used
6,6,vsgui10k-images/853a11.png,853a11.png,Undergraduate,present,present,present,1,1,both_correct,0.6562344568190449,1.0,UNDERGRADUATE,90.026466,low,auto_prefilled_present_verify_if_used
7,7,vsgui10k-images/fe670b.png,fe670b.png,F12,present,present,present,1,1,both_correct,0.36056754986149286,0.1,© Default Windows,90.78370166666667,low,auto_prefilled_present_verify_if_used
8,8,vsgui10k-images/cfca97.png,cfca97.png,vimeo,present,present,present,1,1,both_correct,0.024310327356386788,0.8,Video,96.93145,low,auto_prefilled_present_verify_if_used
9,9,vsgui10k-images/78ddbd.png,78ddbd.png,Submit News,present,present,present,1,1,both_correct,0.6355699962086135,0.9166666666666666,‘Submit News,89.2863465,low,auto_prefilled_present_verify_if_used
10,10,vsgui10k-images/1e27b2.png,1e27b2.png,week,present,present,absent,1,0,prompt_correct_combined_wrong;new_present_false_absent,0.018497861772825724,0.3333333333333333,Ed,74.874199,low,auto_prefilled_present_verify_if_used
11,11,vsgui10k-images/c228a1.png,c228a1.png,BUSINESSES,present,present,absent,1,0,prompt_correct_combined_wrong;new_present_false_absent,0.0833597511668394,0.5,TUNERS,95.622459,low,auto_prefilled_present_verify_if_used
12,12,vsgui10k-images/c6a6d9.png,c6a6d9.png,ABOUT THE SCHOOL,present,present,present,1,1,both_correct,0.3487808803587394,0.3333333333333333,Shark Tank: Health Hackathon Finalists ion >,90.41044628571429,low,auto_prefilled_present_verify_if_used
13,13,vsgui10k-images/6193f8.png,6193f8.png,Sign up,present,present,absent,1,0,prompt_correct_combined_wrong;new_present_false_absent,0.013190613269727633,0.46153846153846156,NB Buy,74.9649815,low,auto_prefilled_present_verify_if_used
14,14,vsgui10k-images/026dd2.png,026dd2.png,Jobs,present,present,present,1,1,both_correct,0.6447836321053562,1.0,Jobs,82.412048,low,auto_prefilled_present_verify_if_used
15,15,vsgui10k-images/5062ba.png,5062ba.png,4 weeks,present,present,absent,1,0,prompt_correct_combined_wrong;new_present_false_absent,0.039324321527808376,0.5,month week day st,73.45762625,low,auto_prefilled_present_verify_if_used
16,16,vsgui10k-images/de5446.png,de5446.png,Save,present,present,present,1,1,both_correct,0.8446824922092827,0.32,Capture Screen Active,96.99430833333334,low,auto_prefilled_present_verify_if_used
17,17,vsgui10k-images/3eb8f9.png,3eb8f9.png,Western Boots,present,present,present,1,1,both_correct,0.1616873894950349,1.0,Western Boots,92.768551,low,auto_prefilled_present_verify_if_used
18,18,vsgui10k-images/1b307f.png,1b307f.png,test,present,present,present,1,1,both_correct,0.23114416639840102,1.0,Test,96.889366,low,auto_prefilled_present_verify_if_used
19,19,vsgui10k-images/55251b.png,55251b.png,Videos,present,absent,absent,0,0,both_wrong,0.7420385412806101,0.6666666666666666,Movies,94.252296,low,auto_prefilled_present_verify_if_used
20,20,vsgui10k-images/82361c.png,82361c.png,john,present,present,present,1,1,both_correct,0.5895623429345282,1.0,John,96.841026,low,auto_prefilled_present_verify_if_used
21,21,vsgui10k-images/091b5e.png,091b5e.png,Stay Connected,present,present,present,1,1,both_correct,0.15095039118265757,1.0,Stay Connected,96.740299,low,auto_prefilled_present_verify_if_used
22,22,vsgui10k-images/66935b.png,66935b.png,Video,present,present,present,1,1,both_correct,0.5684928052857574,1.0,Video,96.638123,low,auto_prefilled_present_verify_if_used
23,23,vsgui10k-images/a9793b.png,a9793b.png,search gymshark,present,present,present,1,1,both_correct,0.011312624431968817,0.6923076923076923,55 GYMSHARK,72.1478725,low,auto_prefilled_present_verify_if_used
24,24,vsgui10k-images/8b2ea2.png,8b2ea2.png,Player,present,absent,absent,0,0,both_wrong,0.8901959259819383,1.0,Player,96.479752,low,auto_prefilled_present_verify_if_used
25,25,vsgui10k-images/da36d4.png,da36d4.png,Landing,present,present,present,1,1,both_correct,0.4261783951956298,0.4117647058823529,Landing Thu 19:22,95.35659,low,auto_prefilled_present_verify_if_used
26,26,vsgui10k-images/912a36.png,912a36.png,Wonach suchen Sie?,present,present,present,1,1,both_correct,0.590218919825031,0.4,Wristwatches,96.638435,low,auto_prefilled_present_verify_if_used
27,27,vsgui10k-images/574bac.png,574bac.png,Search,present,present,present,1,1,both_correct,0.2535754878386957,0.46153846153846156,HEALTHY,95.334061,low,auto_prefilled_present_verify_if_used
28,28,vsgui10k-images/d079f1.png,d079f1.png,Email,present,present,present,1,1,both_correct,0.46008853670596084,0.2857142857142857,au,88.561745,low,auto_prefilled_present_verify_if_used
29,29,vsgui10k-images/ecf129.png,ecf129.png,Enter keywords to search,present,present,present,1,1,both_correct,0.6288130699726622,0.3829787234042553,filter facte steel wire,86.76676175,low,auto_prefilled_present_verify_if_used
30,30,vsgui10k-images/9efcf0.png,9efcf0.png,Download for mac,present,present,present,1,1,both_correct,0.797677973205778,0.8888888888888888,& Download for Mac,81.8900125,low,auto_prefilled_present_verify_if_used
31,31,vsgui10k-images/c6c2cd.png,c6c2cd.png,Create your blog,present,present,present,1,1,both_correct,0.29881494965059446,0.4375,PY hy Our Family -,65.99441879999999,low,auto_prefilled_present_verify_if_used
32,32,vsgui10k-images/840bb8.png,840bb8.png,Cherche/Search,present,present,absent,1,0,prompt_correct_combined_wrong;new_present_false_absent,0.024322660050328015,0.26666666666666666,LOmbre Reveil Du,91.59302033333331,low,auto_prefilled_present_verify_if_used
